paper_id,title,year,venue,primary_full_text_url,local_pdf,pdf_sha256,page_count,reading_status,sections_completed,key_equations,key_tables,key_ablations,code_url,stage1_support,stage1_non_support,transfer_boundary,note_path,reviewed_at
P002,"Curriculum Learning by Optimizing Learning Dynamics",2021,"AISTATS; PMLR 130",https://proceedings.mlr.press/v130/zhou21a/zhou21a.pdf,source_papers/DoCL_2021.pdf,14B8E63E994887BFC0533902BAE2A8A79C415ADE7E352C5D0F77D1B72832117C,12,REPLICATION_DEPTH,"MAIN_12_OF_12;SUPPLEMENT_8_OF_8;VISUAL_P3_P7_P9_SUPP_P6","Eq4;Eq7;Eq8;Eq12;Eq14;Eq15","Table1;SupplementTable2","Figure5;warm_start;temperature;EMA;diversity;LR_schedule;subset_decay",,"Dynamic conditional value; residual times learning direction; exploration; trajectory observation","No replay duplication; no FN-constrained tail objective; no guard; no cross-seed reversal test; no Stage1 ratios or stop epoch","Mechanism and fields transfer; constants and efficacy claims do not",notes/P002_DoCL_2021.md,2026-08-07
P009,"Prioritized Training on Points that are Learnable, Worth Learning, and Not Yet Learnt",2022,"ICML; PMLR 162",https://proceedings.mlr.press/v162/mindermann22a/mindermann22a.pdf,source_papers/RHO_LOSS_2022.pdf,C8FA73E9256CB70ADE58D23B498B4164D601514850ADD790E1F63A1B3E46CBBE,20,REPLICATION_DEPTH,"PDF_20_OF_20;APPENDICES_A_TO_G;VISUAL_P3_P8_P18_P19","Eq1;Eq2;Eq3","Table1;Table2;Table3;Table4","approximation;IL_size;IL_update;noise;percentage_selected;active_learning",https://github.com/OATML/RHO-Loss,"Current loss minus irreducible loss; noise and redundancy separation; frozen reference; dynamic learnability","No replay duplication; average holdout can harm rare tails; no FN-constrained objective; weak interaction assumption; no Stage1 ratios","Use as class-tail-aware diagnostic feature; do not copy selection fraction or final formula",notes/P009_RHO_LOSS_2022.md,2026-08-07
P008,"Deep Learning on a Data Diet: Finding Important Examples Early in Training",2021,"NeurIPS 34",https://proceedings.neurips.cc/paper/2021/file/ac56f8fe9eea3e4a365f29f0f1957c55-Paper.pdf,source_papers/Data_Diet_2021.pdf,F5CABCA1BC3C837B924888BBAA949EBBC754B771FF91FCDA13E7B91D5C4DC9AD,12,REPLICATION_DEPTH,"MAIN_12_OF_12;SUPPLEMENT_10_OF_10;VISUAL_MAIN_P4_P5_P6_P8_SUPP_P2_P5_P9","Lemma2.2;Eq3;Eq4;EL2N;Eq7-12","Figure1;Figure2;Figure3;Figure4;SupplementFigures9-19","score_runs;extreme_tail;noise;architecture_transfer;hyperparameter_transfer;NTK;LMC",https://github.com/mansheej/data_diet,"Gradient norm as leverage bound; multi-seed averaging; error dynamics; coverage and extreme-tail controls","Large gradient converse false; no replay; no FN constraint; one OOF trajectory not equivalent to ensemble","Use magnitude as candidate screen only; collect alignment and multi-seed stability",notes/P008_Data_Diet_2021.md,2026-08-07
P004,"Learning to Reweight Examples for Robust Deep Learning",2018,"ICML; PMLR 80",https://proceedings.mlr.press/v80/ren18a/ren18a.pdf,source_papers/Learning_To_Reweight_2018.pdf,3D46118CFB8575A12ED3EA2E5C90857DB865FB9FC01C7F8B6565090DE8DDF276,10,REPLICATION_DEPTH,"MAIN_10_OF_10;AUTHOR_APPENDICES_A_TO_C;VISUAL_MAIN_P3_P4_P7_P8","Eq1-Eq9;Eq12;AppendixEq19-Eq67","Algorithm1;Table1;Table2;Figure2-Figure7","noise_type;noise_ratio;validation_size;weight_histogram;training_curve;random_weight","https://github.com/uber-research/learning-to-reweight-examples","Current target-gradient dot product; online state-dependent direction; clean validation objective","No additive replay; no FN-constrained target; no static value; no Stage1 ratios; approximately 3x cost","Use checkpoint-time class-tail gradient diagnostics first; keep blind holdout sealed",notes/P004_Learning_To_Reweight_2018.md,2026-08-07
P005,"GRAD-MATCH: Gradient Matching based Data Subset Selection for Efficient Deep Model Training",2021,"ICML; PMLR 139",https://proceedings.mlr.press/v139/killamsetty21a/killamsetty21a.pdf,source_papers/GradMatch_2021.pdf,945F5AEBCDD0A134726E495AFE99141738A6241E4EFD7A444912FBAA66F56ABB,11,REPLICATION_DEPTH,"MAIN_11_OF_11;SUPPLEMENT_22_OF_22;VISUAL_MAIN_P3_P5_P8_P9_SUPP_P9_P12_P16_P20_P21","Err;Eq1-Eq5;Theorem1-Theorem4;SuppEq6-Eq104","Algorithm1;Algorithm2;Figure3;Figure4;Tables3-12","R;kappa;lambda;epsilon;budget;warm_start;per_batch;per_class;variance;gradient_error","https://github.com/decile-team/cords","Set-level gradient residual; adaptive reselection; cancellation and redundancy; finite-step descent condition","Subset replacement not replay; convex theory; no FN constraint; no fixed-set seed stability; SGD proof sign inconsistency","Use additive residual-correction diagnostics with non-negative replay weights and separate tail targets",notes/P005_GradMatch_2021.md,2026-08-07
P006,"GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning",2021,"AAAI 2021",https://cdn.aaai.org/ojs/16988/16988-13-20482-1-2-20210518.pdf,source_papers/GLISTER_2021_AAAI.pdf,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,9,REPLICATION_DEPTH,"OFFICIAL_9_OF_9;ARXIV_FULL_30_OF_30;ALL_PROOFS_AND_APPENDIX;VISUAL_FULL_P3_P4_P5_P6_P7_P25_P28_P29","Eq3-Eq5;Theorem1-Theorem3;AppendixEq6-Eq106","Algorithm1-Algorithm3;Figures2-16;Tables1-2","L;r;lambda;budget;noise;imbalance;refresh;boundary;covariate_shift",https://github.com/dssresearch/GLISTER,"Dynamic validation-gradient target; set-dependent marginal gain; refresh sensitivity; finite-step direction and norm","Subset replacement not replay; no FN constraint; no seed uncertainty; fixed-seed code; no Stage1 ratios","Use checkpoint-specific separate-tail alignment and set marginal diagnostics; do not copy numeric settings",notes/P006_GLISTER_2021.md,2026-08-07
P007,"An Empirical Study of Example Forgetting during Deep Neural Network Learning",2019,"ICLR 2019",https://arxiv.org/pdf/1812.05159,source_papers/Example_Forgetting_2019.pdf,0CEEF9C602D22B977BAF61E1E62897EE0D3D1A043E93D34129B3A448A9120C89,19,REPLICATION_DEPTH,"FULL_19_OF_19;APPENDICES_9_TO_15;CODE_AUDIT;VISUAL_P3_P4_P5_P7_P8_P14_P16_P18","forgetting_event;learning_event;margin;unforgettable","Algorithm1;Figures1-18","seed_stability;first_learning;margin;label_noise;pixel_noise;chance_gradient;removal;architecture_transfer",https://github.com/mtoneva/example_forgetting,"Per-presentation dynamics; multi-seed stability; stable easy set; extreme hard tail contamination","Pruning not replay; no FN constraint; OOF reversal differs from training forgetting; no numeric transfer","Keep train-presentation forgetting and OOF epoch reversal as separate fields; use as strata not scalar value",notes/P007_Example_Forgetting_2019.md,2026-08-07
P010,"Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics",2020,"EMNLP; ACL Anthology",https://aclanthology.org/2020.emnlp-main.746.pdf,source_papers/Dataset_Cartography_2020.pdf,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,19,REPLICATION_DEPTH,"PDF_19_OF_19;APPENDICES_A_TO_C;CODE;VISUAL_P1_P3_P5_P6_P7_P8_P13_P17","mean_gold_confidence;gold_probability_variability;correctness","Table2;Table3;Table4;Figure3;Figure4;Figure5;Figure6","subset_fraction;easy_replacement;synthetic_label_noise;human_audit;dropout_comparison;architecture_comparison;burn_out",https://github.com/allenai/cartography,"Full trajectories; learner-conditional coordinates; hard-tail mixture; easy-plus-ambiguous set interaction; seed-level coordinate checks","No variability-only replay rule; no numeric Stage1 schedule; no additive replay; no FN-constrained target; no fixed-selection seed effect","Released metric logs train-mode pre-update presentations; keep separate from fixed-view checkpoint and OOF dynamics",notes/P010_Dataset_Cartography_2020.md,2026-08-07
P011,"Estimating Training Data Influence by Tracing Gradient Descent",2020,"NeurIPS 2020",https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,source_papers/TracIn_2020.pdf,B31C94316EF78E2E5F28553FE7F54098E2AAFB431405471D5624D073465D09C9,17,REPLICATION_DEPTH,"MAIN_11_OF_11;SUPPLEMENT_6_OF_6;CODE_AUDIT;VISUAL_MAIN_P2_P3_P4_P5_P6_P7_SUPP_P3_P4","TracInIdeal;first_order_TracIn;TracInCP;self_influence;random_projection","Figure1;Figure2;Figure7;Figure8","checkpoint_count;checkpoint_location;equal_vs_lr_weighting;projection_dimension;last_layer;mislabel_detection",https://github.com/frederick0329/TracIn,"Checkpoint-specific target-gradient direction; path dependence; optimizer-aware update requirement; exposure-aware influence","No replay efficacy; no Adam derivation; no numeric Stage1 schedule; no frozen-set seed stability; central experiment code incomplete","Separate exact path attribution, first-order step effect and checkpoint counterfactual; replay violates one-visit assumption",notes/P011_TracIn_2020.md,2026-08-07
P012,"Understanding Black-box Predictions via Influence Functions",2017,"ICML; PMLR 70",https://proceedings.mlr.press/v70/koh17a/koh17a.pdf,source_papers/Influence_Functions_2017.pdf,715FB9F935B0AF32C7AE1F0D834FD5158EDB279A575A4AE91196D1830F281F65,12,REPLICATION_DEPTH,"OFFICIAL_MAIN_10_OF_10;OFFICIAL_SUPP_2_OF_2;ARXIV_V3_12_OF_12;CODE_AUDIT;VISUAL_P2_TO_P9","I_up_params;I_up_loss;I_pert_loss;CG;LiSSA","Figure1;Figure2;Figure3;Figure6","exact_vs_stochastic_HVP;nonconvex_damping;smooth_hinge;40_flip_repeats;self_influence_vs_loss",https://github.com/kohpangwei/influence-release,"Curvature-aware local direction; dataset resistance and redundancy; local removal calibration; approximation diagnostics","Infinitesimal endpoint effect not finite replay; no cross-seed selection stability; no FN constraint; no numeric Stage1 schedule","Use curvature-aware probes with separate tail targets and finite-difference calibration; causal replay remains required",notes/P012_Influence_Functions_2017.md,2026-08-07
