openalex_id,title,reason
https://openalex.org/W3092703718,Data valuation for medical imaging using Shapley value and application to a large-scale chest X-ray dataset,DOMAIN_EXCLUSION
https://openalex.org/W4416903537,Shapley value-based data valuation for machine learning data markets,DOMAIN_EXCLUSION
https://openalex.org/W4366352743,Deep Long-Tailed Learning: A Survey,REVIEW_OR_SURVEY
https://openalex.org/W3206816884,Deep Long-Tailed Learning: A Survey,REVIEW_OR_SURVEY
https://openalex.org/W4302008538,Self-Supervised Aggregation of Diverse Experts for Test-Agnostic Long-Tailed Recognition,OUT_OF_SCOPE
https://openalex.org/W3186180121,Test-Agnostic Long-Tailed Recognition by Test-Time Aggregating Diverse Experts with Self-Supervision,OUT_OF_SCOPE
https://openalex.org/W3084285228,Improved Trainable Calibration Method for Neural Networks on Medical Imaging Classification,DOMAIN_EXCLUSION
https://openalex.org/W2936503027,Survey on deep learning with class imbalance,REVIEW_OR_SURVEY
https://openalex.org/W3035730922,Inflated Episodic Memory With Region Self-Attention for Long-Tailed Visual Recognition,OUT_OF_SCOPE
https://openalex.org/W3205572814,Assembly of a Coreset of Earth Observation Images on a Small Quantum Computer,DOMAIN_EXCLUSION
https://openalex.org/W3196349267,Self Supervision to Distillation for Long-Tailed Visual Recognition,OUT_OF_SCOPE
https://openalex.org/W3175527903,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,DUPLICATE_TITLE
https://openalex.org/W4378942363,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,OUT_OF_SCOPE
https://openalex.org/W3015391807,The IntCal20 Northern Hemisphere Radiocarbon Age Calibration Curve (0–55 cal kBP),DOMAIN_EXCLUSION
https://openalex.org/W2899434936,A survey on addressing high-class imbalance in big data,REVIEW_OR_SURVEY
https://openalex.org/W3160412534,Unified Focal loss: Generalising Dice and cross entropy-based losses to handle class imbalanced medical image segmentation,DOMAIN_EXCLUSION
https://openalex.org/W2803237185,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels,DUPLICATE_TITLE
https://openalex.org/W3008477738,Profit Allocation for Federated Learning,DOMAIN_EXCLUSION
https://openalex.org/W3102889971,The influence of training sample size on the accuracy of deep learning models for the prediction of soil properties with near-infrared spectroscopy data,DOMAIN_EXCLUSION
https://openalex.org/W4286971399,Improving Fairness for Data Valuation in Horizontal Federated Learning,DOMAIN_EXCLUSION
https://openalex.org/W4293791267,Towards Federated Learning against Noisy Labels via Local Self-Regularization,DOMAIN_EXCLUSION
https://openalex.org/W4292347999,Open Long-Tailed Recognition in a Dynamic World,OUT_OF_SCOPE
https://openalex.org/W4226205874,The Shapley Value in Machine Learning,DUPLICATE_TITLE
https://openalex.org/W4416360695,Rethinking Data Value: Asymmetric Data Shapley for Structure-Aware Valuation in Data Markets and Machine Learning Pipelines,DOMAIN_EXCLUSION
https://openalex.org/W4396983056,Co-Teaching Learning from Noisy Labeled FMRI Data for Diagnostic Classification of Major Depression,DOMAIN_EXCLUSION
https://openalex.org/W2743151379,Measuring Catastrophic Forgetting in Neural Networks,OUT_OF_SCOPE
https://openalex.org/W2963902936,Active Learning for Convolutional Neural Networks: A Core-Set Approach,DUPLICATE_TITLE
https://openalex.org/W2902456977,Experience Replay for Continual Learning,DUPLICATE_TITLE
https://openalex.org/W3176639943,Addressing Class Imbalance in Federated Learning,DOMAIN_EXCLUSION
https://openalex.org/W1912128066,Submodularity in Data Subset Selection and Active Learning,NON_PRIMARY_SOURCE
https://openalex.org/W2981188200,Decoupling Representation and Classifier for Long-Tailed Recognition,OUT_OF_SCOPE
https://openalex.org/W4312244159,Balanced Contrastive Learning for Long-Tailed Visual Recognition,OUT_OF_SCOPE
https://openalex.org/W2963560049,Measuring Catastrophic Forgetting in Neural Networks,OUT_OF_SCOPE
https://openalex.org/W4312601326,UNICON: Combating Label Noise Through Uniform Selection and Contrastive Learning,OUT_OF_SCOPE
https://openalex.org/W3174366534,Bag of Tricks for Long-Tailed Visual Recognition with Deep Convolutional Neural Networks,OUT_OF_SCOPE
https://openalex.org/W3127228978,Overcoming Catastrophic Forgetting in Graph Neural Networks with Experience Replay,DOMAIN_EXCLUSION
https://openalex.org/W2030819361,Classification and calibration of organic matter fluorescence data with multiway analysis methods and artificial neural networks: an operational tool for improved drinking water treatment,DOMAIN_EXCLUSION
https://openalex.org/W3201658153,Balancing Methods for Multi-label Text Classification with Long-Tailed Class Distribution,OUT_OF_SCOPE
https://openalex.org/W4285815152,BalanceFL: Addressing Class Imbalance in Long-Tail Federated Learning,DOMAIN_EXCLUSION
https://openalex.org/W4386065770,Class-Conditional Sharpness-Aware Minimization for Deep Long-Tailed Recognition,OUT_OF_SCOPE
https://openalex.org/W4220932801,Attentive Feature Augmentation for Long-Tailed Visual Recognition,OUT_OF_SCOPE
https://openalex.org/W3081647887,Adversarial Shapley Value Experience Replay for Task-Free Continual Learning.,NON_PRIMARY_SOURCE
https://openalex.org/W2964212410,On calibration of modern neural networks,DUPLICATE_TITLE
https://openalex.org/W3034601242,BBN: Bilateral-Branch Network With Cumulative Learning for Long-Tailed Visual Recognition,OUT_OF_SCOPE
https://openalex.org/W2991523350,Confidence Calibration and Predictive Uncertainty Estimation for Deep Medical Image Segmentation,DOMAIN_EXCLUSION
https://openalex.org/W3215720729,The Majority Can Help the Minority: Context-rich Minority Oversampling for Long-tailed Classification,OUT_OF_SCOPE
https://openalex.org/W4312866014,Targeted Supervised Contrastive Learning for Long-Tailed Recognition,OUT_OF_SCOPE
https://openalex.org/W2911789160,Bayesian semi-supervised learning for uncertainty-calibrated prediction of molecular properties and active learning,DOMAIN_EXCLUSION
