triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,training_seed,discovery_or_confirmation,control,t_run_slot,control_run_slot,t_selection_seed,control_selection_seed,t_machine_id,control_machine_id,machine_pair,same_machine,t_resume_count,control_resume_count,any_resumed,t_input_snapshot_id,control_input_snapshot_id,same_input_snapshot,delta_TN,delta_FN,delta_gap_q68_q050,delta_tail_gap_q90_q05,delta_normal_q68,delta_normal_q90,delta_defect_q50,delta_defect_q05
TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1829910790,discovery,R1,RUN_001,RUN_002,1228591616,402136193,machine_01,machine_01,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,77.0,-3.0,0.0002841592552604,0.0255833443949026,-0.0002751268656805,-0.0092121937055155,9.03238957994379e-06,0.0163711506893871
TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1829910790,discovery,R2,RUN_001,RUN_003,1228591616,496611123,machine_01,machine_01,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-699.0,5.0,-0.0004733598877608,0.0087590824456599,-9.452243185840288e-05,0.0031035027692143,-0.0005678823196192,0.0118625852148743
TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1385197443,discovery,R1,RUN_004,RUN_005,1344845072,1367143950,machine_02,machine_02,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,3807.0,-18.0,0.0010070553787659,0.0041117423036425,-0.0002051348898059,-0.0120646031005514,0.0008019204889599,-0.0079528607969088
TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1385197443,discovery,R2,RUN_004,RUN_006,1344845072,1383653485,machine_02,machine_02,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,3664.0,-22.0,0.0018497244688738,-0.0135823698949547,-0.0002919009450388,-0.0065255652543698,0.001557823523835,-0.0201079351493245
TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1343723075,discovery,R1,RUN_007,RUN_008,1633096071,1901889585,machine_03,machine_03,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-1773.0,5.0,0.0001376920949346,0.0055345015165244,0.0004630715259864,-0.0083770956739246,0.000600763620921,-0.0028425941574002
TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,1343723075,discovery,R2,RUN_007,RUN_009,1633096071,1965280128,machine_03,machine_03,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,418.0,-2.0,0.0011118500011518,0.005084255376397,-0.0009259374045679,0.0010549351106919,0.0001859125965838,0.0061391904870889
TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1829910790,discovery,R1,RUN_010,RUN_011,213681350,1871590197,machine_04,machine_04,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-582.0,5.0,3.9998536501273385e-05,-0.0120492768739303,4.676276215496988e-06,-0.0055063853358203,4.467481271674956e-05,-0.0175556622097506
TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1829910790,discovery,R2,RUN_010,RUN_012,213681350,274805210,machine_04,machine_04,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,676.0,-3.0,0.0009932991212512,-0.0127162213436293,-0.0010524661149333,-0.0023142103662447,-5.916699368213596e-05,-0.0150304317098741
TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1385197443,discovery,R1,RUN_013,RUN_014,663082709,587133428,machine_05,machine_05,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,361.0,-6.0,0.000504594925047,-0.0268543557404531,-0.0004033427956992,-0.0068061072607635,0.0001012521293478,-0.0336604630012166
TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1385197443,discovery,R2,RUN_013,RUN_015,663082709,1066367518,machine_05,machine_05,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,907.0,-8.0,-0.0018021975343924,-0.0324100266476921,0.001449591328276,0.0016876757230534,-0.0003526062061164,-0.0307223509246386
TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1343723075,discovery,R1,RUN_016,RUN_017,1331300276,672619350,machine_06,machine_06,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-1800.0,7.0,-6.274893228308542e-05,-0.0176023991156089,0.0005983567405648,-0.0100852897116641,0.0005356078082817,-0.027687688827273
TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,1343723075,discovery,R2,RUN_016,RUN_018,1331300276,1774735714,machine_06,machine_06,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-2620.0,15.0,-0.0002615658864274,-0.0046344173067156,-0.0004056308213648,0.0051763296673739,-0.0006671967077922,0.0005419123606582
TRIAD_007,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1829910790,discovery,R1,RUN_019,RUN_020,2002562898,590395092,machine_07,machine_07,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-2324.0,18.0,-0.0018899831326052,-0.0045787921940367,0.0027311568878099,-0.0085746140376389,0.0008411737552046,-0.0131534062316757
TRIAD_007,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1829910790,discovery,R2,RUN_019,RUN_021,2002562898,1003637770,machine_07,machine_07,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,320.0,8.0,-0.0011153218559514,0.0034694844449049,0.0007342252603515,0.0070830529553158,-0.0003810965955999,0.0105525374002207
TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1385197443,discovery,R1,RUN_022,RUN_023,201779297,1733888523,machine_08,machine_08,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-3169.0,22.0,0.0007251769142087,0.0068988825194057,0.000850217187408,-0.0121479407835527,0.0015753941016166,-0.005249058264147
TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1385197443,discovery,R2,RUN_022,RUN_024,201779297,487722083,machine_08,machine_08,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-1153.0,4.0,-0.0019533250476647,-0.0178078627788664,0.000993665563295,0.0035333065144773,-0.0009596594843697,-0.014274556264389
TRIAD_009,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1343723075,discovery,R1,RUN_025,RUN_026,1424869338,369244063,machine_09,machine_09,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,2465.0,-12.0,0.0001586431680744,0.0111199704015538,-0.0009107159154885,-0.013112866522452,-0.000752072747414,-0.0019928961208982
TRIAD_009,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,1343723075,discovery,R2,RUN_025,RUN_027,1424869338,1689982801,machine_09,machine_09,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-2176.0,8.0,0.0015711441516585,0.0071123101064743,-0.002136496558915,-0.0156010345240522,-0.0005653524072565,-0.0084887244175778
TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,1829910790,discovery,R1,RUN_028,RUN_029,26275082,1613901897,machine_10,machine_10,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-1144.0,8.0,-0.0009089253206713,0.004103465771685,0.0007023615217229,-0.0068899602351785,-0.0002065637989483,-0.0027864944634935
TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,1829910790,discovery,R2,RUN_028,RUN_030,26275082,2028548297,machine_10,machine_10,same_machine,True,0,0,False,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,True,-1629.0,3.0,0.0003639616682818,0.0002089917136607,-6.281018530698151e-06,-0.0049998073189502,0.0003576806497511,-0.0047908156052894
