canonical_field_id,logical_source,normalized_path,field_path,definition,definition_status,collection_state,raw_or_derived,granularity,time_scope,collection_frequency,files_observed,runs_observed,files_expected,runs_expected,coverage_rate,missing_rate,values_observed,non_null_count,null_count,value_null_rate,null_profile_status,unit,reproducibility,leakage_risk,availability_phase,hypothesis_ids,collection_cost_class,priority,priority_reason,gap_status,path_total_bytes,path_mean_bytes_per_file,path_min_bytes,path_max_bytes,artifact_manifest_listed_rate,artifact_manifest_size_match_rate,artifact_sha256_present_rate,storage_attribution,usage_role,usage_status,rationale,source_kind,schema_variant_count,matched_rule_id,scan_status,files_profiled,runs_profiled,unique_count,unique_count_lower_bound,unique_count_exact,constant_state,constant_proved,numeric_count,non_numeric_count,numeric_min,numeric_max,redacted_examples_json,value_digest_sha256,sensitive_values_redacted,original_usage_role,original_usage_status,refinement_rule_id,derived_consumer,derived_evidence_verified,silently_dropped,path_files_observed,domain
planned::epoch_150_checkpoint,next_campaign_field_contract,<PLANNED>/checkpoints,epoch_150_checkpoint,"Full checkpoint at epoch 150, the center of the observed late-training divergence window.",PLANNED_CONTRACT,NOT_COLLECTED,RAW_MODEL_STATE,RUN_CHECKPOINT,DURING_TRAINING,ONCE_PER_RUN,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,binary_state,CONTENT_HASH_VERIFIABLE,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H4_SEED_SENSITIVITY;H5_GRADIENT_ALIGNMENT,VERY_HIGH,P0,The prior campaign did not retain the checkpoint needed to inspect the 150-160 epoch window.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,The prior campaign did not retain the checkpoint needed to inspect the 150-160 epoch window.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,checkpoints
planned::key_epoch_checkpoint,next_campaign_field_contract,<PLANNED>/checkpoints,key_epoch_checkpoint,"Full resumable model and optimizer state at epochs 120, 140, 150, 160, 180, and 200.",PLANNED_CONTRACT,NOT_COLLECTED,RAW_MODEL_STATE,RUN_CHECKPOINT,DURING_TRAINING,KEY_EPOCHS_120_140_150_160_180_200,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,binary_state,CONTENT_HASH_VERIFIABLE,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H4_SEED_SENSITIVITY;H5_GRADIENT_ALIGNMENT,VERY_HIGH,P0,"Required for trajectory reconstruction, recovery, and key-epoch gradient probes.",NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,"Required for trajectory reconstruction, recovery, and key-epoch gradient probes.",PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,checkpoints
planned::blind_or_external_test,next_campaign_field_contract,<PLANNED>/evaluation,blind_or_external_test,Untouched sample split opened only after protocol and model-selection freeze.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,DATASET_SPLIT,FINAL_ONLY,ONCE_PER_CAMPAIGN,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,split_identity,HASH_VERIFIABLE,CRITICAL_DO_NOT_OPEN_EARLY,AFTER_PROTOCOL_FREEZE,H7_BLIND_GENERALIZATION,MEDIUM,P0,Required to separate mechanism discovery from final generalization evidence.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to separate mechanism discovery from final generalization evidence.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,evaluation
planned::no_replay_arm,next_campaign_field_contract,<PLANNED>/evaluation,no_replay_arm,Arm with identical base data and initialization but zero replay exposure.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN,FULL_TRAINING,ONCE_PER_RUN,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,arm_label,HASH_VERIFIABLE,NONE,RUN_LIFECYCLE,H1_REPLAY_CAUSAL_EFFECT;H4_SEED_SENSITIVITY,LOW,P0,Required before confirmatory launch because it identifies the causal replay mechanism.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required before confirmatory launch because it identifies the causal replay mechanism.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,evaluation
planned::selected_checkpoint_and_threshold_provenance,next_campaign_field_contract,<PLANNED>/evaluation,selected_checkpoint_and_threshold_provenance,"Rule, calibration split, checkpoint identity, and threshold used for every reported outcome.",PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_EVALUATION,POST_TRAINING,ONCE_PER_EVALUATION,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,provenance_record,HASH_VERIFIABLE,HIGH_IF_USED_BEFORE_FREEZE,AFTER_CHECKPOINT,H7_BLIND_GENERALIZATION,LOW,P0,Prevents implicit checkpoint or threshold cherry-picking.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Prevents implicit checkpoint or threshold cherry-picking.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,evaluation
planned::base_defect_loss_per_epoch,next_campaign_field_contract,<PLANNED>/loss_telemetry,base_defect_loss_per_epoch,Mean loss of non-guard defect base samples per epoch.,PLANNED_CONTRACT,NOT_COLLECTED,DERIVED,RUN_EPOCH_CLASS_ROLE,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,loss,RECOMPUTABLE_FROM_ROLE_AGGREGATES,TRAIN_ONLY,DURING_TRAINING,H3_WEAK_DEFECT_GUARD,LOW,P0,Required to test whether normal replay harms the weak-defect tail.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to test whether normal replay harms the weak-defect tail.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,loss_telemetry
planned::base_normal_loss_per_epoch,next_campaign_field_contract,<PLANNED>/loss_telemetry,base_normal_loss_per_epoch,Mean loss of non-replayed normal base samples per epoch.,PLANNED_CONTRACT,NOT_COLLECTED,DERIVED,RUN_EPOCH_CLASS_ROLE,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,loss,RECOMPUTABLE_FROM_ROLE_AGGREGATES,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY,LOW,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,loss_telemetry
planned::base_vs_replay_loss_split,next_campaign_field_contract,<PLANNED>/loss_telemetry,base_vs_replay_loss_split,"Separate aggregate loss for base samples, normal replay, and defect guard samples.",PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_EPOCH_ROLE,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,loss,DETERMINISTIC_FROM_BATCH_LOSS_LOG,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H3_WEAK_DEFECT_GUARD,LOW,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,loss_telemetry
planned::guard_defect_loss_per_epoch,next_campaign_field_contract,<PLANNED>/loss_telemetry,guard_defect_loss_per_epoch,Mean loss of selected weak-defect guard draws per epoch.,PLANNED_CONTRACT,NOT_COLLECTED,DERIVED,RUN_EPOCH_CLASS_ROLE,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,loss,RECOMPUTABLE_FROM_ROLE_AGGREGATES,TRAIN_ONLY,DURING_TRAINING,H3_WEAK_DEFECT_GUARD,LOW,P0,Required to test whether normal replay harms the weak-defect tail.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to test whether normal replay harms the weak-defect tail.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,loss_telemetry
planned::replay_normal_loss_per_epoch,next_campaign_field_contract,<PLANNED>/loss_telemetry,replay_normal_loss_per_epoch,Mean loss of selected normal replay draws per epoch.,PLANNED_CONTRACT,NOT_COLLECTED,DERIVED,RUN_EPOCH_CLASS_ROLE,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,loss,RECOMPUTABLE_FROM_ROLE_AGGREGATES,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY,LOW,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,loss_telemetry
