finding_id,v3_status,v3_source_refs,local_reproduction,observed_result,remaining_risk,required_action
"P0-01","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/oof_reference.py:104-140;stage1_dynamic_replay_v3/oof_reference.py:178-199","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_01_oof","v3 uses one held-out row per sample instead of a fold Cartesian cube but accepts contradictory path-fold metadata.","The producing model is not cryptographically proven to exclude the sample from training.","Bind sample fold assignment to checkpoint and training-member exclusion manifests and reject row-path-model contradictions."
"P0-02","CONFIRMED_ABSENT","stage1_dynamic_replay_v3/matrix.py:28-31;stage1_dynamic_replay_v3/ultralytics_overlay.py:384-390","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_02_checkpoint","The primary endpoint is fixed to epoch 200 and the overlay commits self.last rather than best.pt.","A released worker still needs to bind every evaluated checkpoint SHA to the logical run.","Keep epoch 200 as the sole primary endpoint and publish immutable checkpoint lineage."
"P0-03","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/evaluation.py:21-23;stage1_dynamic_replay_v3/ultralytics_overlay.py:44-50","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_03_data_roles","The leaking CLD and alignment methods are absent and val_model is separate from val_op.","There is no independent val_target for the future A mechanism.","Create group-disjoint val_target before implementing target alignment and keep val_op threshold-only."
"P0-04","CONFIRMED_ABSENT","stage1_dynamic_replay_v3/ultralytics_overlay.py:131-140;stage1_dynamic_replay_v3/matrix.py:28-31","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_04_test_oracle","No test oracle is referenced by the current runtime and formal jobs are held.","The sealed-test access gate is not yet an end-to-end release artifact.","Require an immutable one-time blind-holdout authorization after method freeze."
"P0-05","CONFIRMED_ABSENT","stage1_dynamic_replay_v3/evaluation.py:141-165","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_05_dual_threshold","FN-constrained TN and TN-constrained FN are computed from independent feasible candidate sets.","The target-TN threshold and tie group are not yet retained in a dedicated endpoint record.","Persist both thresholds and both confusion matrices with their independent derivations."
"P0-06","NOT_APPLICABLE_CAPABILITY_ABSENT","stage1_dynamic_replay_v3/matrix.py:52-109","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_06_cld","Current v3 contains no CLD or target-gradient arm so the reviewed cross-trajectory bug is absent.","The required A mechanism is also absent.","Implement one matched-trajectory FN95 target-direction path only after val_target is frozen."
"P0-07","CONFIRMED_PRESENT","stage1_dynamic_replay_v3/matrix.py:120-128","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_07_matrix","The 236-run matrix is internally consistent but all jobs are HELD and the matrix is scientifically superseded.","Running it would spend compute on RHO-only questions without Q A D or R2.","Replace it with the literature-backed staged Q/R/A/D matrix after evidence synthesis and canary gates."
"H-01","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/runtime_controller.py:13-23;stage1_dynamic_replay_v3/matrix.py:52-109","STATIC_SOURCE_AUDIT_20260809","v3 has one online controller surface and one enumerated policy matrix rather than duplicate CLD feature paths.","The missing expert source prevents equivalence review and the final canonical Q/R/A/D pipeline is not built.","Keep one versioned implementation per mechanism and add equivalence tests before retiring any legacy path."
"H-02","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/trajectory.py:79-188;stage1_dynamic_replay_v3/ultralytics_overlay.py:201-206","tests/stage1_dynamic_replay_v3/test_trajectory.py:28-47","v3 records optimizer-visible sample identity per batch and formally forbids multi-GPU execution.","Actual-exposure parity has not been demonstrated on a real GPU canary and no DDP contract exists.","Keep formal jobs single GPU and validate actual exposure on real canaries before release."
"H-03","CONFIRMED_PRESENT","pyproject.toml:6-25;stage1_dynamic_replay_v3/ultralytics_overlay.py:395-396","STATIC_DEPENDENCY_AUDIT_20260809","Torch torchvision and several core dependencies are not exactly pinned and resolved optimizer settings are not persisted here.","Different machines can resolve scientifically different environments or optimizer behavior.","Freeze exact environment or container digest and persist resolved optimizer parameter groups and training arguments."
"H-04","CONFIRMED_ABSENT","stage1_dynamic_replay_v3/controller.py:42-57;stage1_dynamic_replay_v3/controller.py:133-156","tests/stage1_dynamic_replay_v3/test_controller.py:43-67","RHO is computed explicitly from current CE minus OOF CE and missing current state cannot silently become slow-learning.","The OOF reference is still an adaptation rather than an irreducible-loss-model replication.","Keep the method name OOF-RHO-inspired and hard-fail on missing provenance."
"H-05","NOT_APPLICABLE_CAPABILITY_ABSENT","stage1_dynamic_replay_v3/matrix.py:30-31;stage1_dynamic_replay_v3/matrix.py:127-128","STATIC_CAPABILITY_AUDIT_20260809","No embedding or alignment artifact is generated by current v3.","Future A and D artifacts would be unsafe without checkpoint layer preprocessing and class-map identity.","Define a provenance sidecar before implementing embeddings or last-layer alignment."
"H-06","CONFIRMED_ABSENT","artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P009_RHO_LOSS_2022.md:103-134;stage1_dynamic_replay_v3/matrix.py:52-57","STATIC_NAMING_AUDIT_20260809","Current notes state the transfer boundary and the code calls the method OOF_RHO_ADAPTIVE rather than a paper replication.","A formal method registry for future Q A D components is still needed.","Record REPLICATION versus INSPIRED_ADAPTATION versus MECHANISM_ONLY in every arm contract."
"H-07","NOT_APPLICABLE_CAPABILITY_ABSENT","stage1_dynamic_replay_v3/matrix.py:30-31;stage1_dynamic_replay_v3/matrix.py:127-128","STATIC_CAPABILITY_AUDIT_20260809","Current v3 does not compute or claim full influence or head-gradient alignment.","Target direction remains untested.","Name future head-gradient work last-layer local alignment diagnostic and include norm anti-alignment and random controls."
"H-08","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/evaluation.py:101-165;stage1_dynamic_replay_v3/evaluation.py:182-235","tests/stage1_dynamic_replay_v3/test_evaluation.py:19-29","Development frontiers use raw p_defect and prediction identities are bound.","Calibration fitting deployment thresholds and final evaluation roles are not a complete released pipeline.","Keep ranking on raw score and implement calibration as a separately frozen deployment stage."
"H-09","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/seeds.py:50-55;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/GOAL_EXECUTION_CONTRACT_500_300_100_v2.md:259-266","STATIC_PROTOCOL_AUDIT_20260809","The registry reserves 10 discovery 10 ablation and 14 unseen seeds and the goal names paired seed outcomes.","No executable paired randomization multiplicity or frozen promotion rule exists yet.","Pre-register one primary decision rule and implement paired seed-level inference before final matrix generation."
"H-10","CONFIRMED_PRESENT","stage1_dynamic_replay_v3/asset_identity.py:57-82;stage1_dynamic_replay_v3/asset_identity.py:123-128","STATIC_SCHEMA_AUDIT_20260809","Identity binds path label bytes and file SHA but has no video pipe session pHash or embedding-neighbor grouping.","Adjacent or transformed CCTV frames can leak across data roles.","Build group-disjoint role manifests and cross-role exact plus perceptual duplicate audits."
"H-11","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/controller.py:140-165;stage1_dynamic_replay_v3/trajectory.py:183-188","tests/stage1_dynamic_replay_v3/test_training_runtime.py:45-65","v3 names cap_fraction and records actual per-epoch replay occurrences rather than relying only on B labels.","The final report contract for cumulative exposures unique IDs repeat distribution and optimizer steps is incomplete.","Freeze denominator and report all per-epoch and cumulative budget quantities for every arm."
"H-12","CONFIRMED_PRESENT","stage1_dynamic_replay_v3/matrix.py:120-128","local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_07_matrix","Current v3 deliberately validates 236 runs rather than reproducing the older 240-run matrix.","The 236-run matrix is now superseded too and cannot be called the final formal matrix.","Generate a new uniquely versioned matrix only after the final scientific contract is frozen."
"H-13","CONFIRMED_ABSENT","stage1_dynamic_replay_v3/runtime_controller.py:198-255","tests/stage1_dynamic_replay_v3/test_runtime_controller.py:26-52","The current controller creates epoch t replay only after completing epoch t-1 and stores causal state.","Online decisions currently implement only RHO current-loss random and no-replay.","Preserve one-epoch causality while adding Q A D as separately testable mechanisms."
"H-14","CONFIRMED_PRESENT","stage1_dynamic_replay_v3/controller.py:199-228;stage1_dynamic_replay_v3/matrix.py:68-88","tests/stage1_dynamic_replay_v3/test_controller.py:90-106","Random is only count-matched global normal sampling and overlap is allowed and counted; no method-matched R2 exists.","T versus random gains can reflect candidate-pool class source or difficulty differences.","Add R2 matching and an explicit overlap policy plus disjoint sensitivity analysis."
"H-15","CONFIRMED_PRESENT","stage1_dynamic_replay_v3/matrix.py:10-11;stage1_dynamic_replay_v3/controller.py:133-160","STATIC_PROTOCOL_AUDIT_20260809","No arbitrary weighted score is used but cap levels envelope and FN fraction are fixed research hyperparameters without completed evidence justification.","A winner can still be selected through unregistered threshold searching.","Justify each level from literature or prior data and isolate it in preregistered ablations."
"H-16","PARTIALLY_MITIGATED","stage1_dynamic_replay_v3/dynamic_dataset.py:63-84;stage1_dynamic_replay_v3/trajectory.py:89-169;stage1_dynamic_replay_v3/ultralytics_overlay.py:234-403","tests/stage1_dynamic_replay_v3/test_dynamic_dataset.py:44-44;tests/stage1_dynamic_replay_v3/test_trajectory.py:28-47","v3 binds draw identity and deterministic augmentation seed to actual batches and records optimizer-visible occurrences.","No owner real-GPU canary has validated Ultralytics cache workers throughput OOM and resume behavior end to end.","Run authorized local and ten-machine canaries only after the scientific matrix is replaced and full tests pass."
