reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,method_source_status,screened_credit
1,RESERVE_ALL,P0402,RG08622BBB78D02352,CWB5AB35B9A6935D217BE1,Online Continual Learning with Maximally Interfered Retrieval,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWB5AB35B9A6935D217BE1,sources/P0402.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
2,RESERVE_ALL,P0253,RGEE59DC67A0BBC200,CWD00072AB5B797956278E,From Quantity to Quality: Boosting LLM Performance with Self-Guided Data Selection for Instruction Tuning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWD00072AB5B797956278E,sources/P0253.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
3,RESERVE_ALL,P0336,RG33781731D2127BDA,CW09F1DA6A7DA94601975F,S-OHEM: Stratified Online Hard Example Mining for Object Detection,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW09F1DA6A7DA94601975F,sources/P0336.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
4,RESERVE_ALL,P0347,RG2848302C97EF1B11,CWE03F6B77CC0368124DCC,Tripartite: Tackle Noisy Labels by a More Precise Partition,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWE03F6B77CC0368124DCC,sources/P0347.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
5,RESERVE_ALL,P0389,RG73DDFFEB6CEB2A03,CW32423BD7BAE6B38BFC1F,A Novel Self-Supervised Re-labeling Approach for Training with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW32423BD7BAE6B38BFC1F,sources/P0389.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
6,RESERVE_ALL,P0055,RGAD81DA55921F8FC7,CW81CD4231D0DE2E15076D,Uncertainty-Aware Learning against Label Noise on Imbalanced Datasets,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW81CD4231D0DE2E15076D,sources/P0055.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
7,RESERVE_ALL,P0422,RGA9FF3E7C7E6293A8,CW8EF1487D7836A978EE51,Hybrid Curriculum Learning for Emotion Recognition in Conversation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW8EF1487D7836A978EE51,sources/P0422.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
8,RESERVE_ALL,P0089,RG38876E4B004BBD24,CWF70E65B04A8F87B9146B,Self-Paced Learning with Diversity,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWF70E65B04A8F87B9146B,sources/P0089.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
9,RESERVE_ALL,P0467,RG756A41981DC69BA5,CW1E68CA8F25DC2298874D,Example Forgetting: A Novel Approach to Explain and Interpret Deep Neural Networks in Seismic Interpretation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW1E68CA8F25DC2298874D,sources/P0467.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
10,RESERVE_ALL,P0147,RG956A8FDEADC2B6A2,CWEF948C3DBE89E0321123,CurGraph: Curriculum Learning for Graph Classification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWEF948C3DBE89E0321123,sources/P0147.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
