queue_id,canonical_work_id,title,direct_rqs,directness,relevance_class,reserve_reason
RG6CCCA8213C89C6C4,CWBDB8BDF328005930B6E2,Traceprop: End-to-End Provenance-Guided Data Attribution for Auditable Machine Learning,RQ3;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGF5B189901FDFA8FB,CWFC898FADF0D8394DC32C,GraSS: Scalable Data Attribution with Gradient Sparsification and Sparse Projection,RQ3,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGFCD4B8DDEC1FC480,CW524B9752E3E96D1907D4,Addressing Multi-Label Learning with Partial Labels: From Sample Selection to Label Selection,RQ1;RQ4;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG787C2EFB26B1FB32,CW5BEFE8BB07F682C87E94,Navigating Towards Fairness with Data Selection,RQ2;RQ4;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGAA6F3FDAAA19C394,CWE9984EF552C4771F4F68,Using Deep Reinforcement Learning with Automatic Curriculum Learning for Mapless Navigation in Intralogistics,RQ1;RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG34FD4FF0469C9A99,CWB23AB0E6EBFC952D9961,Sequential Reptile: Inter-Task Gradient Alignment for Multilingual Learning,RQ3;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG8F87939AC7676453,CWC471065CD84966F8CD0B,Confidence-Aware Paced-Curriculum Learning by Label Smoothing for Surgical Scene Understanding,RQ1;RQ5;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGBBD3C43D8A830D70,CWB0E3CCB7EC9AEE28BE03,Self-paced learning for multi-modal fusion for alzheimer's disease diagnosis,RQ1;RQ2;RQ4;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG1AF1E9F616A399E6,CW972908AD35B6F3C4F4C8,Predicting multiple types of miRNA–disease associations using adaptive weighted nonnegative tensor factorization with self-paced learning and hypergraph regularization,RQ1;RQ4;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGDE74AF83D1CF9197,CWFEB448673D1871CE9211,Teacher-student curriculum learning for reinforcement learning,RQ1;RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG03282F5D0498C0BB,CW519236560CAA94C7E1E8,Learning to Generate Synthetic Training Data using Gradient Matching and\n Implicit Differentiation,RQ3;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGD69071A6D4E62AF0,CW5D3A543720069633F942,An End-to-End Curriculum Learning Approach for Autonomous Driving Scenarios,RQ1;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGBAA87164263B59C0,CW6F5AA5FE3421B10A81AB,Competence-based Multimodal Curriculum Learning for Medical Report Generation,RQ1;RQ6;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGE453FF6F8BB13349,CWE3BA469B1F597A04A32D,Weakly-supervised Temporal Path Representation Learning with Contrastive Curriculum Learning,RQ1;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGB6C56F058DC5ED57,CW976048E632C1EF36ECA6,AFLN-DGCL: Adaptive Feature Learning Network with Difficulty-Guided Curriculum Learning for skin lesion segmentation,RQ1;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
