experiment_id,method_id,manifest_build_status,budget,run_id,replay_manifest_dir,training_run_dir,eval_dir
oof_dynamics_gap_value_20260708,confidence_fp,default_ready,600,confidence_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/confidence_fp/budget_00600,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/confidence_fp/budget_00600/confidence_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/confidence_fp/budget_00600/confidence_fp_b00600_r001
oof_dynamics_gap_value_20260708,confidence_fp,default_ready,3000,confidence_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/confidence_fp/budget_03000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/confidence_fp/budget_03000/confidence_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/confidence_fp/budget_03000/confidence_fp_b03000_r001
oof_dynamics_gap_value_20260708,confidence_fp,default_ready,6000,confidence_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/confidence_fp/budget_06000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/confidence_fp/budget_06000/confidence_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/confidence_fp/budget_06000/confidence_fp_b06000_r001
oof_dynamics_gap_value_20260708,boundary_fp,default_ready,600,boundary_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/boundary_fp/budget_00600,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/boundary_fp/budget_00600/boundary_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/boundary_fp/budget_00600/boundary_fp_b00600_r001
oof_dynamics_gap_value_20260708,boundary_fp,default_ready,3000,boundary_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/boundary_fp/budget_03000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/boundary_fp/budget_03000/boundary_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/boundary_fp/budget_03000/boundary_fp_b03000_r001
oof_dynamics_gap_value_20260708,boundary_fp,default_ready,6000,boundary_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/boundary_fp/budget_06000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/boundary_fp/budget_06000/boundary_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/boundary_fp/budget_06000/boundary_fp_b06000_r001
oof_dynamics_gap_value_20260708,persistent_fp,default_ready,600,persistent_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/persistent_fp/budget_00600,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/persistent_fp/budget_00600/persistent_fp_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/persistent_fp/budget_00600/persistent_fp_b00600_r001
oof_dynamics_gap_value_20260708,persistent_fp,default_ready,3000,persistent_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/persistent_fp/budget_03000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/persistent_fp/budget_03000/persistent_fp_b03000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/persistent_fp/budget_03000/persistent_fp_b03000_r001
oof_dynamics_gap_value_20260708,persistent_fp,default_ready,6000,persistent_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/persistent_fp/budget_06000,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/persistent_fp/budget_06000/persistent_fp_b06000_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/persistent_fp/budget_06000/persistent_fp_b06000_r001
oof_dynamics_gap_value_20260708,grad_mag,default_ready,600,grad_mag_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/03_replay_manifests/grad_mag/budget_00600,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/04_training_runs/grad_mag/budget_00600/grad_mag_b00600_r001,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/oof_dynamics_gap_value_20260708/05_eval/grad_mag/budget_00600/grad_mag_b00600_r001
